seed,model_name,target_ordering,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,checkpoint_path
0,GNNNodeScorer,SMALLEST_LAST,10,2,3,5,32,200,132,0.05266677774488926,0.06613433249294758,0.05266677774488926,0.06146756559610367,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,SMALLEST_LAST,10,2,3,5,32,200,181,0.07163671776652336,0.07052485570311547,0.07163671776652336,0.059238253782192864,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,SMALLEST_LAST,10,2,3,5,32,200,166,0.05938999727368355,0.06821572426706553,0.05938999727368355,0.061227671802043915,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,SMALLEST_LAST,10,2,3,5,32,200,170,0.051015814766287804,0.05583576634526253,0.051015814766287804,0.07414272924264272,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,SMALLEST_LAST,10,2,3,5,32,200,194,0.05232571251690388,0.06131897624582052,0.05232571251690388,0.052874272068341575,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_4.pt
