source_csv,graph_id,num_orderings_tested,best_colors,worst_colors,spread_best_to_worst,winner_count,winning_orderings,worst_orderings,has_unique_winner,has_nontrivial_spread,DYNAMIC_LARGEST_FIRST,INCIDENCE_DEGREE,LARGEST_FIRST,NATURAL,SMALLEST_LAST,source_priority
colpack_week15_five_ordering_benchmark.csv,bcsstk06,5,12,15,3,1,DYNAMIC_LARGEST_FIRST,NATURAL,True,True,12.0,13.0,13.0,15.0,13.0,50
colpack_week15_five_ordering_benchmark.csv,dwt_419,5,6,8,2,2,"INCIDENCE_DEGREE, SMALLEST_LAST",NATURAL,False,True,7.0,6.0,7.0,8.0,6.0,50
colpack_week15_five_ordering_benchmark.csv,sherman1,5,2,4,2,2,"INCIDENCE_DEGREE, SMALLEST_LAST","DYNAMIC_LARGEST_FIRST, LARGEST_FIRST",False,True,4.0,2.0,4.0,3.0,2.0,50
week17_structured_colpack_benchmark.csv,week17_bcsstk08,5,8,11,3,2,"INCIDENCE_DEGREE, SMALLEST_LAST",NATURAL,False,True,9.0,8.0,9.0,11.0,8.0,80
week17_structured_colpack_benchmark.csv,week17_gr_30_30,5,4,7,3,2,"LARGEST_FIRST, NATURAL",DYNAMIC_LARGEST_FIRST,False,True,7.0,5.0,4.0,4.0,5.0,80
week17_structured_colpack_benchmark.csv,week17_lshp_265,5,4,6,2,2,"INCIDENCE_DEGREE, SMALLEST_LAST","LARGEST_FIRST, NATURAL",False,True,5.0,4.0,6.0,6.0,4.0,80
