seed,model_name,experiment,target_ordering,feature_set,checkpoint_selection,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_total_colors,best_validation_loss,best_validation_gap_from_target,best_validation_gap_from_colpack5,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,final_train_total_colors,final_train_gap_from_target,final_train_gap_from_colpack5,final_validation_total_colors,final_validation_gap_from_target,final_validation_gap_from_colpack5,final_test_total_colors,final_test_gap_from_target,final_test_gap_from_colpack5,final_test_per_graph_colors,checkpoint_path
0,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,6,1,2,25,32,500,248,4,0.06152791902422905,0,-1,0.045422195767362915,0.06152791902422905,0.04984741099178791,25,1,-1,4,0,-1,8,0,-2,week17_cycle_square_c17:4/target4/colpack55; week17_cycle_square_c20:4/target4/colpack55,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,6,1,2,25,32,500,132,4,0.058487847447395325,0,-1,0.03983933416505655,0.058487847447395325,0.04462563246488571,25,1,-1,4,0,-1,8,0,-2,week17_cycle_square_c17:4/target4/colpack55; week17_cycle_square_c20:4/target4/colpack55,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,6,1,2,25,32,500,284,4,0.05988156422972679,0,-1,0.03533790446817875,0.05988156422972679,0.06256647035479546,24,0,-2,4,0,-1,8,0,-2,week17_cycle_square_c17:4/target4/colpack55; week17_cycle_square_c20:4/target4/colpack55,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,6,1,2,25,32,500,484,4,0.05781833082437515,0,-1,0.04100338431696097,0.05781833082437515,0.04770978167653084,24,0,-2,4,0,-1,8,0,-2,week17_cycle_square_c17:4/target4/colpack55; week17_cycle_square_c20:4/target4/colpack55,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,6,1,2,25,32,500,160,4,0.05869705602526665,0,-1,0.04953226260840893,0.05869705602526665,0.05210036411881447,27,3,1,4,0,-1,8,0,-2,week17_cycle_square_c17:4/target4/colpack55; week17_cycle_square_c20:4/target4/colpack55,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_4.pt
