seed,model_name,target_ordering,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,checkpoint_path
0,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,10,2,3,15,32,200,127,0.052018171176314354,0.04767088335938752,0.052018171176314354,0.05349087528884411,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,10,2,3,15,32,200,197,0.048683393746614456,0.051353504927828905,0.048683393746614456,0.038730804497996964,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,10,2,3,15,32,200,127,0.05084712244570255,0.05306142214685679,0.05084712244570255,0.040351725183427334,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,10,2,3,15,32,200,112,0.050144290551543236,0.0522201906889677,0.050144290551543236,0.04314318671822548,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,10,2,3,15,32,200,198,0.04913681000471115,0.049899495067074896,0.04913681000471115,0.04059767723083496,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_4.pt
