seed,model_name,target_ordering,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,checkpoint_path
0,GNNNodeScorer,BEST_AVAILABLE_OF_3,10,2,3,5,32,200,191,0.05101351346820593,0.05793812852352857,0.05101351346820593,0.06806245818734169,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,BEST_AVAILABLE_OF_3,10,2,3,5,32,200,128,0.062072036787867546,0.06250037960708141,0.062072036787867546,0.0670679360628128,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,BEST_AVAILABLE_OF_3,10,2,3,5,32,200,55,0.07015043497085571,0.07296244874596595,0.07015043497085571,0.0606470617155234,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,BEST_AVAILABLE_OF_3,10,2,3,5,32,200,135,0.05900198593735695,0.0567317895591259,0.05900198593735695,0.06556946163376172,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,BEST_AVAILABLE_OF_3,10,2,3,5,32,200,181,0.05342959240078926,0.058316577970981595,0.05342959240078926,0.051953379064798355,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_4.pt
