seed,model_name,target_ordering,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,checkpoint_path
0,GNNNodeScorer,SMALLEST_LAST,3,1,1,5,32,200,3,0.08752551674842834,0.07017632635931174,0.08752551674842834,0.07134174555540085,results\models\gnn_node_scorer\multiple_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,SMALLEST_LAST,3,1,1,5,32,200,1,0.07597474753856659,0.1225328395764033,0.07597474753856659,0.46216562390327454,results\models\gnn_node_scorer\multiple_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,SMALLEST_LAST,3,1,1,5,32,200,1,0.05371692776679993,0.2431976149479548,0.05371692776679993,0.8522531986236572,results\models\gnn_node_scorer\multiple_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,SMALLEST_LAST,3,1,1,5,32,200,1,0.09907637536525726,0.06729770265519619,0.09907637536525726,0.17405182123184204,results\models\gnn_node_scorer\multiple_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,SMALLEST_LAST,3,1,1,5,32,200,1,0.11307009309530258,0.12530653178691864,0.11307009309530258,0.6712174415588379,results\models\gnn_node_scorer\multiple_runs\best_gnn_node_scorer_seed_4.pt
