seed,model_name,target_ordering,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,checkpoint_path
0,GNNNodeScorer,BEST_AVAILABLE_OF_5_RANKING,10,2,3,5,32,200,54,0.028290300630033016,0.03077927604317665,0.02894564066082239,0.027123395974437397,results\models\gnn_node_scorer\week16_best_available_of_5_ranking_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,BEST_AVAILABLE_OF_5_RANKING,10,2,3,5,32,200,49,0.026722224429249763,0.03129431819543242,0.027584007009863853,0.02822101612885793,results\models\gnn_node_scorer\week16_best_available_of_5_ranking_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,BEST_AVAILABLE_OF_5_RANKING,10,2,3,5,32,200,121,0.026557411067187786,0.03019267674535513,0.027243937365710735,0.028865041211247444,results\models\gnn_node_scorer\week16_best_available_of_5_ranking_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,BEST_AVAILABLE_OF_5_RANKING,10,2,3,5,32,200,80,0.027080160565674305,0.03687069695442915,0.0271697910502553,0.035669744635621704,results\models\gnn_node_scorer\week16_best_available_of_5_ranking_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,BEST_AVAILABLE_OF_5_RANKING,10,2,3,5,32,200,188,0.026597495190799236,0.02992167240008712,0.02727446798235178,0.02986566349864006,results\models\gnn_node_scorer\week16_best_available_of_5_ranking_runs\best_gnn_node_scorer_seed_4.pt
